marker,moderator,interaction_term,estimate,std_error,t_value,p_value,n_obs,n_subjects,converged,p_fdr,significant_fdr,marker_label,moderator_label
omission_rate,valence,onoff:valence,0.0458503125224216,0.0417844184898909,1.09730646445431,0.272507445955323,2460,42,True,0.558259490209324,False,Omission Rate,Valence
omission_rate,valence_sq,onoff:valence_sq,-0.0926418236659244,0.0374153253222497,-2.47603950702075,0.0132848876915976,2460,42,True,0.11984958945767919,False,Omission Rate,Valence² (curvature)
omission_rate,selfother,onoff:selfother,-0.0775686414485875,0.037576173312364,-2.06430390885664,0.0389889106434133,2460,42,True,0.1560020666222476,False,Omission Rate,Self/Other
omission_rate,time,onoff:time,-0.0368602662816181,0.0363071450515518,-1.01523450079264,0.309994058297233,2460,42,True,0.5786555754881683,False,Omission Rate,Time (probe dim.)
omission_rate,time_sq,onoff:time_sq,-0.0441041872768867,0.0345581569617161,-1.27623088597421,0.201873913542298,2460,42,True,0.47103913159869537,False,Omission Rate,Time² (curvature)
omission_rate,confidence,onoff:confidence,0.0090336830125703,0.0391583848811854,0.230696006486999,0.817550976214794,2460,42,True,0.847830642000527,False,Omission Rate,Confidence
omission_rate,time_on_task,onoff:time_on_task,-0.160492580160368,0.0339260319684618,-4.73066170277634,2.23789186028987e-06,2460,42,True,6.266097208811636e-05,True,Omission Rate,Time on Task
commission_rate,valence,onoff:valence,-0.027521969040173,0.0886971452721925,-0.310291486334921,0.756339304800379,1613,42,True,0.8344688506013773,False,Commission Rate,Valence
commission_rate,valence_sq,onoff:valence_sq,-0.0222389764831859,0.0777536225795062,-0.286018525509157,0.774863932701279,1613,42,True,0.8344688506013773,False,Commission Rate,Valence² (curvature)
commission_rate,selfother,onoff:selfother,0.0264389527495033,0.0782219058348026,0.33799934260538,0.735363683180133,1613,42,True,0.8344688506013773,False,Commission Rate,Self/Other
commission_rate,time,onoff:time,0.0594494173444162,0.0801637750384758,0.741599523174682,0.45833001253402,1613,42,True,0.7130907351296508,False,Commission Rate,Time (probe dim.)
commission_rate,time_sq,onoff:time_sq,0.180084372607953,0.0755358649097462,2.38409095895209,0.0171213699225256,1613,42,True,0.11984958945767919,False,Commission Rate,Time² (curvature)
commission_rate,confidence,onoff:confidence,-0.0434093850236185,0.0907085039233049,-0.478559155383289,0.632252281305705,1613,42,True,0.8344688506013773,False,Commission Rate,Confidence
commission_rate,time_on_task,onoff:time_on_task,0.0780396888923452,0.0721069880688088,1.08227636436395,0.279129745104662,1613,42,True,0.558259490209324,False,Commission Rate,Time on Task
total_errors,valence,onoff:valence,0.0275983953333654,0.0372217656680674,0.741458521325389,0.458415472583347,2460,42,True,0.7130907351296508,False,Total Errors,Valence
total_errors,valence_sq,onoff:valence_sq,-0.0695273130255874,0.0333430057072426,-2.08521432158964,0.0370498504693942,2460,42,True,0.1560020666222476,False,Total Errors,Valence² (curvature)
total_errors,selfother,onoff:selfother,-0.0689280576966607,0.0333924413758158,-2.06418143917387,0.0390005166555619,2460,42,True,0.1560020666222476,False,Total Errors,Self/Other
total_errors,time,onoff:time,-0.0219036445948578,0.032554406916132,-0.672831934898609,0.501054218536886,2460,42,True,0.738395690475411,False,Total Errors,Time (probe dim.)
total_errors,time_sq,onoff:time_sq,-0.0108688011635113,0.0308842394694674,-0.351920634932791,0.724897783459364,2460,42,True,0.8344688506013773,False,Total Errors,Time² (curvature)
total_errors,confidence,onoff:confidence,0.0067918689822737,0.0354610850997751,0.19153020735727,0.848110216533088,2460,42,True,0.848110216533088,False,Total Errors,Confidence
total_errors,time_on_task,onoff:time_on_task,-0.115339022919614,0.0297716651193547,-3.87412065993687,0.0001070103869035,2460,42,True,0.001498145416649,True,Total Errors,Time on Task
rtcv,valence,onoff:valence,-0.0162584218847857,0.0118615137216379,-1.37068693476507,0.170472569392718,2444,42,True,0.47103913159869537,False,RTCV (RT Variability),Valence
rtcv,valence_sq,onoff:valence_sq,0.0131216558646769,0.0100388955545721,1.30708162001952,0.191184992837033,2444,42,True,0.47103913159869537,False,RTCV (RT Variability),Valence² (curvature)
rtcv,selfother,onoff:selfother,-0.0140994481918978,0.0108890315131149,-1.2948303230564,0.195378769015782,2444,42,True,0.47103913159869537,False,RTCV (RT Variability),Self/Other
rtcv,time,onoff:time,-0.0041595716588428,0.0114656828239611,-0.362784469334012,0.71676589432615,2444,42,True,0.8344688506013773,False,RTCV (RT Variability),Time (probe dim.)
rtcv,time_sq,onoff:time_sq,0.0149502983793761,0.0103523855578652,1.44414041534781,0.148699481525949,2444,42,True,0.47103913159869537,False,RTCV (RT Variability),Time² (curvature)
rtcv,confidence,onoff:confidence,0.010918596388673,0.0120594099029164,0.905400552479147,0.365253223169039,2444,42,True,0.6391931405458183,False,RTCV (RT Variability),Confidence
rtcv,time_on_task,onoff:time_on_task,-0.0039995987574927,0.009109836047873,-0.439041793559669,0.660631253487659,2444,42,True,0.8344688506013773,False,RTCV (RT Variability),Time on Task
